# omega (eV), Re alpha(omega), Im alpha(omega)
1.560000000000000053,0.199632314102865638,-0.308136940266084458
1.570000000000000062,0.200988896589178151,-0.309253524466010565
1.580000000000000071,0.202341563437056199,-0.310364574863480513
1.590000000000000080,0.203690310321302442,-0.311470162595769540
1.600000000000000089,0.205035133934544839,-0.312570357881583494
1.610000000000000098,0.206376031960938511,-0.313665230027334596
1.620000000000000107,0.207713003050277206,-0.314754847433571738
1.630000000000000115,0.209046046792519008,-0.315839277601553281
1.640000000000000124,0.210375163692718942,-0.316918587139954799
1.650000000000000133,0.211700355146371838,-0.317992841771703838
1.660000000000000142,0.213021623415160843,-0.319062106340932961
1.670000000000000151,0.214338971603112244,-0.320126444820044043
1.679999999999999938,0.215652403633151080,-0.321185920316873985
1.689999999999999947,0.216961924224059965,-0.322240595081958459
1.699999999999999956,0.218267538867833621,-0.323290530515881913
1.710000000000000187,0.219569253807431281,-0.324335787176710688
1.719999999999999751,0.220867076014920449,-0.325376424787500063
1.729999999999999982,0.222161013170011523,-0.326412502243870750
1.739999999999999991,0.223451073638979175,-0.327444077621646790
1.749999999999999778,0.224737266453967577,-0.328471208184550001
1.760000000000000009,0.226019601292676536,-0.329493950391945123
1.770000000000000018,0.227298088458424585,-0.330512359906629194
1.780000000000000249,0.228572738860585184,-0.331526491602661066
1.789999999999999813,0.229843563995394490,-0.332536399573224062
1.800000000000000044,0.231110575927124556,-0.333542137138519657
1.810000000000000053,0.232373787269618715,-0.334543756853682983
1.820000000000000284,0.233633211168187860,-0.335541310516720592
1.830000000000000071,0.234888861281858485,-0.336534849176461703
1.840000000000000080,0.236140751765975876,-0.337524423140521390
1.850000000000000089,0.237388897255149639,-0.338510081983269984
1.859999999999999876,0.238633312846546014,-0.339491874553805917
1.870000000000000107,0.239874014083516690,-0.340469848983927015
1.880000000000000115,0.241111016939562967,-0.341444052696097733
1.890000000000000346,0.242344337802630455,-0.342414532411408179
1.899999999999999911,0.243573993459729493,-0.343381334157521256
1.910000000000000142,0.244800001081878577,-0.344344503276606095
1.920000000000000151,0.246022378209363651,-0.345304084433252723
1.929999999999999938,0.247241142737312625,-0.346260121622366912
1.940000000000000169,0.248456312901578019,-0.347212658177041111
1.949999999999999734,0.249667907264924632,-0.348161736776399500
1.959999999999999964,0.250875944703517706,-0.349107399453414402
1.969999999999999973,0.252080444393706860,-0.350049687602691284
1.980000000000000204,0.253281425799103121,-0.350988641988220385
1.989999999999999991,0.254478908657941705,-0.351924302751093099
2.000000000000000000,0.255672912970729360,-0.352856709417180614
2.009999999999999787,0.256863458988170368,-0.353785900904772077
2.020000000000000018,0.258050567199366865,-0.354711915532172128
2.029999999999999805,0.259234258320290345,-0.355634791025254193
2.040000000000000036,0.260414553282517502,-0.356554564524969586
2.049999999999999822,0.261591473222231141,-0.357471272594808931
2.059999999999999609,0.262765039469475492,-0.358384951228216564
2.069999999999999840,0.263935273537666992,-0.359295635855953754
2.079999999999999627,0.265102197113354365,-0.360203361353412743
2.089999999999999858,0.266265832046222894,-0.361108162047877157
2.099999999999999645,0.267426200339341391,-0.362010071725729465
2.109999999999999876,0.268583324139644475,-0.362909123639604536
2.119999999999999662,0.269737225728648999,-0.363805350515486348
2.129999999999999893,0.270887927513400462,-0.364698784559750078
2.139999999999999680,0.272035452017641233,-0.365589457466144629
2.149999999999999911,0.273179821873203443,-0.366477400422718369
2.159999999999999698,0.274321059811617529,-0.367362644118685910
2.169999999999999929,0.275459188655933385,-0.368245218751234171
2.179999999999999716,0.276594231312752681,-0.369125154032269365
2.189999999999999947,0.277726210764465187,-0.370002479195102041
2.199999999999999734,0.278855150061688262,-0.370877223001071177
2.209999999999999964,0.279981072315904800,-0.371749413746106538
2.219999999999999751,0.281104000692294020,-0.372619079267227760
2.229999999999999982,0.282223958402755382,-0.373486246948982026
2.239999999999999769,0.283340968699118567,-0.374350943729817309
2.250000000000000000,0.284455054866537382,-0.375213196108393432
2.259999999999999787,0.285566240217064282,-0.376073030149828513
2.270000000000000018,0.286674548083401481,-0.376930471491882191
2.279999999999999805,0.287780001812825981,-0.377785545351074670
2.290000000000000036,0.288882624761284290,-0.378638276528741824
2.299999999999999822,0.289982440287653465,-0.379488689417025571
2.310000000000000053,0.291079471748166396,-0.380336808004800742
2.319999999999999840,0.292173742490997201,-0.381182655883536892
2.329999999999999627,0.293265275851002705,-0.382026256253096275
2.339999999999999858,0.294354095144619188,-0.382867631927467977
2.349999999999999645,0.295440223664908019,-0.383706805340436441
2.359999999999999876,0.296523684676751331,-0.384543798551187810
2.369999999999999662,0.297604501412190636,-0.385378633249850777
2.379999999999999893,0.298682697065906611,-0.386211330762974370
2.389999999999999680,0.299758294790839763,-0.387041912058942061
2.399999999999999911,0.300831317693945333,-0.387870397753322382
2.409999999999999698,0.301901788832081075,-0.388696808114155967
2.419999999999999929,0.302969731208026283,-0.389521163067180154
2.429999999999999716,0.304035167766627368,-0.390343482200991021
2.439999999999999947,0.305098121391068733,-0.391163784772141920
2.449999999999999734,0.306158614899264658,-0.391982089710181114
2.459999999999999964,0.307216671040372646,-0.392798415622626629
