# omega (eV), Re alpha(w), Im alpha(w)
4.959999999999999964,0.664136508789491709,-0.265213893969543424
5.009999999999999787,0.666332449145608852,-0.263756262723519819
5.060000000000000497,0.668472151983310225,-0.262301518298602598
5.110000000000000320,0.670556982481566699,-0.260850058872914126
5.160000000000000142,0.672588274610268932,-0.259402259066835228
5.209999999999999964,0.674567331629732370,-0.257958471085082519
5.259999999999999787,0.676495426600209226,-0.256519025805508671
5.310000000000000497,0.678373802899485678,-0.255084233817062966
5.360000000000000320,0.680203674746741815,-0.253654386409310928
5.410000000000000142,0.681986227731091077,-0.252229756515712000
5.459999999999999964,0.683722619343360982,-0.250810599612845908
5.509999999999999787,0.685413979509751803,-0.249397154577595315
5.560000000000000497,0.687061411126259625,-0.247989644504261336
5.610000000000000320,0.688665990592724819,-0.246588277483438922
