# omega (eV), Re alpha(omega), Im alpha(omega)
1.140000000000000124,0.000525263301059448,-0.011190923930857948
1.150000000000000133,0.000534502245803708,-0.011288756789625574
1.160000000000000142,0.000543821298798648,-0.011386580953615777
1.169999999999999929,0.000553220444978411,-0.011484396348681442
1.179999999999999938,0.000562699669150602,-0.011582202900712785
1.189999999999999947,0.000572258955996720,-0.011680000535637638
1.199999999999999956,0.000581898290072254,-0.011777789179421745
1.209999999999999964,0.000591617655806595,-0.011875568758069076
1.219999999999999973,0.000601417037503186,-0.011973339197622099
1.229999999999999982,0.000611296419339878,-0.012071100424162080
1.239999999999999991,0.000621255785368834,-0.012168852363809397
1.250000000000000000,0.000631295119516389,-0.012266594942723811
1.260000000000000009,0.000641414405583715,-0.012364328087104757
1.270000000000000018,0.000651613627246609,-0.012462051723191656
1.280000000000000027,0.000661892768055546,-0.012559765777264189
1.290000000000000036,0.000672251811435941,-0.012657470175642595
1.300000000000000044,0.000682690740688174,-0.012755164844687949
1.310000000000000053,0.000693209538987895,-0.012852849710802488
1.320000000000000062,0.000703808189385642,-0.012950524700429841
1.330000000000000071,0.000714486674807684,-0.013048189740055373
1.340000000000000080,0.000725244978055592,-0.013145844756206435
1.350000000000000089,0.000736083081806334,-0.013243489675452670
1.360000000000000098,0.000747000968612967,-0.013341124424406292
1.370000000000000107,0.000757998620904011,-0.013438748929722372
1.380000000000000115,0.000769076020984109,-0.013536363118099130
1.390000000000000124,0.000780233151033896,-0.013633966916278197
1.400000000000000133,0.000791469993110140,-0.013731560251044942
1.410000000000000142,0.000802786529146137,-0.013829143049228686
1.419999999999999929,0.000814182740951246,-0.013926715237703061
1.429999999999999938,0.000825658610211668,-0.014024276743386233
1.439999999999999947,0.000837214118490159,-0.014121827493241219
1.449999999999999956,0.000848849247226192,-0.014219367414276143
1.459999999999999964,0.000860563977736364,-0.014316896433544517
1.469999999999999973,0.000872358291214129,-0.014414414478145550
1.479999999999999982,0.000884232168730133,-0.014511921475224369
1.489999999999999991,0.000896185591232509,-0.014609417351972362
1.500000000000000000,0.000908218539546499,-0.014706902035627399
1.510000000000000009,0.000920330994375249,-0.014804375453474145
1.520000000000000018,0.000932522936299393,-0.014901837532844313
1.530000000000000027,0.000944794345777393,-0.014999288201116947
