# gx (bohr),gy,gz,Re n(g_vec) (1/bohr**3), Im n(g_vec)
9.167722036974312871e+00,6.722996160447829439e+00,-6.722996160447829439e+00,5.055795109439191971e-07,-4.816619814823675062e-17
9.778903506105931953e+00,7.334177629579448521e+00,-7.334177629579448521e+00,-1.124270264196528902e-06,-2.047246068604045058e-16
1.039008497523755281e+01,7.945359098711069379e+00,-7.945359098711069379e+00,1.813323389817870555e-07,-1.800601827708841634e-16
-6.722996160447829439e+00,-9.167722036974312871e+00,9.167722036974312871e+00,5.809238380360003717e-07,-3.570946181962859282e-17
-6.111814691316208581e+00,-8.556540567842692013e+00,8.556540567842692013e+00,-2.268245856927412761e-10,-1.477612130237286130e-16
-5.500633222184586835e+00,-7.945359098711070267e+00,7.945359098711070267e+00,1.539862459925786840e-06,-3.156907902470781025e-16
-4.889451753052966865e+00,-7.334177629579450297e+00,7.334177629579450297e+00,-1.854492317835977016e-06,6.065710355221366296e-17
-4.278270283921346007e+00,-6.722996160447829439e+00,6.722996160447829439e+00,-2.562302563185003531e-06,1.411479823303923952e-16
-3.667088814789725149e+00,-6.111814691316208581e+00,6.111814691316208581e+00,2.553365707729763345e-07,2.261606868248820253e-16
-3.055907345658103402e+00,-5.500633222184586835e+00,5.500633222184586835e+00,2.239388441541624206e-06,1.124429021862224683e-16
-2.444725876526483432e+00,-4.889451753052966865e+00,4.889451753052966865e+00,2.664483040202953625e-05,-1.368603271788142071e-16
-1.833544407394862574e+00,-4.278270283921346007e+00,4.278270283921346007e+00,-2.629495556453363412e-05,-2.198651554537148739e-16
-1.222362938263241716e+00,-3.667088814789725149e+00,3.667088814789725149e+00,2.119240172268112309e-04,-1.575166167482798607e-16
-6.111814691316208581e-01,-3.055907345658104290e+00,3.055907345658104290e+00,-5.413778549343418577e-04,1.393919683888286366e-16
0.000000000000000000e+00,-2.444725876526483432e+00,2.444725876526483432e+00,-7.504209878093920025e-03,2.022419491786578975e-16
6.111814691316208581e-01,-1.833544407394862574e+00,1.833544407394862574e+00,-9.171943821450688830e-03,7.735484149773626321e-17
1.833544407394862574e+00,-1.833544407394862574e+00,1.833544407394862574e+00,1.327314083156167120e-02,-2.679877223689930392e-16
2.444725876526483432e+00,-1.222362938263241716e+00,1.222362938263241716e+00,1.575559747463687807e-02,-5.712944772788096565e-17
3.055907345658104290e+00,-6.111814691316208581e-01,6.111814691316208581e-01,9.480821221676479643e-03,1.168399102933308602e-16
3.667088814789725149e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.150102414371301851e-14,1.072369455829460479e-16
4.278270283921346007e+00,6.111814691316208581e-01,-6.111814691316208581e-01,-1.187675036869396440e-03,2.505132441471314728e-16
4.889451753052966865e+00,1.222362938263241716e+00,-1.222362938263241716e+00,-4.375305068059672225e-05,-1.309839835778218216e-16
5.500633222184587723e+00,1.833544407394862574e+00,-1.833544407394862574e+00,9.931906702031754780e-05,-1.864791618239536273e-16
6.111814691316207693e+00,2.444725876526482544e+00,-2.444725876526482544e+00,-5.240271232764848174e-06,-2.058462909478546468e-16
6.722996160447829439e+00,3.055907345658104290e+00,-3.055907345658104290e+00,1.443303283686234119e-05,1.357470805750070199e-16
7.334177629579450297e+00,3.667088814789725149e+00,-3.667088814789725149e+00,-1.040049748030691896e-05,1.280550438130935480e-16
7.945359098711071155e+00,4.278270283921346007e+00,-4.278270283921346007e+00,-8.359170539645905726e-07,1.951560184767795311e-16
8.556540567842692013e+00,4.889451753052965977e+00,-4.889451753052965977e+00,-4.269911179432019076e-08,4.265533203025195096e-17
9.167722036974312871e+00,5.500633222184587723e+00,-5.500633222184587723e+00,8.869507573661752326e-07,-2.333145142797267189e-16
9.778903506105933729e+00,6.111814691316208581e+00,-6.111814691316208581e+00,1.191185809316710071e-06,-1.795707913625117379e-16
1.039008497523755281e+01,6.722996160447827663e+00,-6.722996160447827663e+00,-7.886079000836576568e-07,-6.634820478751996868e-17
1.100126644436917367e+01,7.334177629579448521e+00,-7.334177629579448521e+00,-4.239325329417008518e-11,8.166444692853056544e-17
-6.111814691316208581e+00,-9.778903506105933729e+00,9.778903506105933729e+00,-4.511223935623163145e-11,-2.270687644036459410e-16
