# gx (bohr),gy,gz,Re n(g_vec) (1/bohr**3), Im n(g_vec)
-5.500633222184587723e+00,-6.722996160447829439e+00,6.722996160447829439e+00,-1.359537910259316065e-07,-1.129149158629199285e-17
-4.889451753052966865e+00,-6.111814691316208581e+00,6.111814691316208581e+00,7.281795250553085751e-08,-3.582607501038893514e-18
-4.278270283921346007e+00,-5.500633222184587723e+00,5.500633222184587723e+00,3.214879118948300053e-07,-1.944634267854536422e-18
-3.667088814789724260e+00,-4.889451753052965977e+00,4.889451753052965977e+00,4.106261546282775730e-08,1.061025899207579174e-17
-3.055907345658104290e+00,-4.278270283921346007e+00,4.278270283921346007e+00,-1.249741810412455832e-06,6.364399170873399143e-18
-2.444725876526483432e+00,-3.667088814789725149e+00,3.667088814789725149e+00,-8.086895667261435956e-06,4.584935546046640790e-20
-1.833544407394862574e+00,-3.055907345658104290e+00,3.055907345658104290e+00,3.353106030171045118e-05,-6.567745038858748645e-18
-1.222362938263241716e+00,-2.444725876526483432e+00,2.444725876526483432e+00,1.082900354232219949e-04,-1.070159094565245705e-17
-6.111814691316208581e-01,-1.833544407394862574e+00,1.833544407394862574e+00,-4.061724628792790144e-04,-5.566552230467524450e-19
0.000000000000000000e+00,-1.222362938263241716e+00,1.222362938263241716e+00,-4.311209392717329342e-04,6.944862564271442052e-18
1.222362938263241716e+00,-1.222362938263241716e+00,1.222362938263241716e+00,1.387748209516059513e-03,-1.848111011178226420e-19
1.833544407394862574e+00,-6.111814691316208581e-01,6.111814691316208581e-01,1.437035173692267735e-03,-7.828215430981597028e-18
2.444725876526483432e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.560284179997387761e-03,-7.969786585714996101e-18
3.055907345658104290e+00,6.111814691316208581e-01,-6.111814691316208581e-01,4.198508604817452515e-04,4.427631665900288796e-19
3.667088814789725149e+00,1.222362938263241716e+00,-1.222362938263241716e+00,-3.038419833069407749e-05,7.061946060020042894e-18
4.278270283921346007e+00,1.833544407394862574e+00,-1.833544407394862574e+00,-1.423393303441155846e-05,9.563466215128921283e-18
4.889451753052966865e+00,2.444725876526483432e+00,-2.444725876526483432e+00,5.382725902512034258e-06,1.237941813631993326e-18
5.500633222184586835e+00,3.055907345658103402e+00,-3.055907345658103402e+00,-2.739042494046494570e-09,-2.212625742682682844e-18
6.111814691316208581e+00,3.667088814789725149e+00,-3.667088814789725149e+00,3.921470068287262949e-08,-1.545500100511181028e-17
6.722996160447829439e+00,4.278270283921346007e+00,-4.278270283921346007e+00,-3.451907821034868464e-07,-4.637452841659287520e-18
7.334177629579450297e+00,4.889451753052966865e+00,-4.889451753052966865e+00,8.978872621724897523e-09,6.003165735393356646e-18
7.945359098711070267e+00,5.500633222184586835e+00,-5.500633222184586835e+00,1.193661889808259888e-07,8.846064564900217473e-18
8.556540567842692013e+00,6.111814691316208581e+00,-6.111814691316208581e+00,-3.415002936440624103e-10,9.807694637892466574e-18
9.167722036974312871e+00,6.722996160447829439e+00,-6.722996160447829439e+00,2.238919896795707125e-08,-2.133002961013067155e-18
9.778903506105931953e+00,7.334177629579448521e+00,-7.334177629579448521e+00,-4.978744212133602346e-08,-9.066071423813728048e-18
1.039008497523755281e+01,7.945359098711069379e+00,-7.945359098711069379e+00,8.030162870343466146e-09,-7.973826413054977399e-18
-6.722996160447829439e+00,-9.167722036974312871e+00,9.167722036974312871e+00,2.572576442177064848e-08,-1.581365993700276945e-18
-6.111814691316208581e+00,-8.556540567842692013e+00,8.556540567842692013e+00,-1.004475195289812734e-11,-6.543491432155591131e-18
-5.500633222184586835e+00,-7.945359098711070267e+00,7.945359098711070267e+00,6.819162219251900644e-08,-1.398012332817310188e-17
-4.889451753052966865e+00,-7.334177629579450297e+00,7.334177629579450297e+00,-8.212476294986406997e-08,2.686153079492829167e-18
-4.278270283921346007e+00,-6.722996160447829439e+00,6.722996160447829439e+00,-1.134695941220982567e-07,6.250629608032878499e-18
-3.667088814789725149e+00,-6.111814691316208581e+00,6.111814691316208581e+00,1.130738323663228039e-08,1.001535170323344120e-17
-3.055907345658103402e+00,-5.500633222184586835e+00,5.500633222184586835e+00,9.916959113040526769e-08,4.979447258219927076e-18
-2.444725876526483432e+00,-4.889451753052966865e+00,4.889451753052966865e+00,1.179945777914807926e-06,-6.060754104345155154e-18
-1.833544407394862574e+00,-4.278270283921346007e+00,4.278270283921346007e+00,-1.164451840401493014e-06,-9.736558948726994235e-18
-1.222362938263241716e+00,-3.667088814789725149e+00,3.667088814789725149e+00,9.384891762961790774e-06,-6.975501967143341022e-18
-6.111814691316208581e-01,-3.055907345658104290e+00,3.055907345658104290e+00,-2.397450104008524299e-05,6.172865884074256984e-18
0.000000000000000000e+00,-2.444725876526483432e+00,2.444725876526483432e+00,-3.323181505996399216e-04,8.956128841880027741e-18
6.111814691316208581e-01,-1.833544407394862574e+00,1.833544407394862574e+00,-4.061724628792610708e-04,3.425599534668859784e-18
1.833544407394862574e+00,-1.833544407394862574e+00,1.833544407394862574e+00,5.877908114842754278e-04,-1.186762973421715861e-17
2.444725876526483432e+00,-1.222362938263241716e+00,1.222362938263241716e+00,6.977244905753627116e-04,-2.529933560244514747e-18
3.055907345658104290e+00,-6.111814691316208581e-01,6.111814691316208581e-01,4.198508604817455226e-04,5.174165373259777784e-18
3.667088814789725149e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.093139898175811008e-16,4.748905482522385114e-18
4.278270283921346007e+00,6.111814691316208581e-01,-6.111814691316208581e-01,-5.259527361007762210e-05,1.109378593457416082e-17
4.889451753052966865e+00,1.222362938263241716e+00,-1.222362938263241716e+00,-1.937570126831444721e-06,-5.800524757152929930e-18
5.500633222184587723e+00,1.833544407394862574e+00,-1.833544407394862574e+00,4.398268333062277354e-06,-8.258085953007461784e-18
6.111814691316207693e+00,2.444725876526482544e+00,-2.444725876526482544e+00,-2.320613726165182002e-07,-9.115744339091139090e-18
6.722996160447829439e+00,3.055907345658104290e+00,-3.055907345658104290e+00,6.391557349550370568e-07,6.011454836527699909e-18
