# gx (bohr),gy,gz,Re n(g_vec) (1/bohr**3), Im n(g_vec)
2.799938667885259136e+00,9.333128892950863786e-01,-9.333128892950863786e-01,7.384605149147880276e-04,0.000000000000000000e+00
3.733251557180345515e+00,1.866625778590172757e+00,-1.866625778590172757e+00,8.934039513088610834e-04,0.000000000000000000e+00
4.666564446475431893e+00,2.799938667885259136e+00,-2.799938667885259136e+00,1.249529067570899650e-04,0.000000000000000000e+00
5.599877335770518272e+00,3.733251557180345515e+00,-3.733251557180345515e+00,3.656962114659263415e-06,0.000000000000000000e+00
6.533190225065604650e+00,4.666564446475431893e+00,-4.666564446475431893e+00,7.270757087277355214e-07,0.000000000000000000e+00
7.466503114360690141e+00,5.599877335770517384e+00,-5.599877335770517384e+00,2.544798786328799781e-06,0.000000000000000000e+00
8.399816003655777408e+00,6.533190225065604650e+00,-6.533190225065604650e+00,-4.202302976533137762e-07,0.000000000000000000e+00
9.333128892950863786e+00,7.466503114360691029e+00,-7.466503114360691029e+00,-2.669699772988548962e-09,0.000000000000000000e+00
-7.466503114360691029e+00,-9.333128892950863786e+00,9.333128892950863786e+00,3.036456401985702075e-07,0.000000000000000000e+00
-6.533190225065604650e+00,-8.399816003655777408e+00,8.399816003655777408e+00,-3.440607851004430336e-07,0.000000000000000000e+00
-5.599877335770517384e+00,-7.466503114360690141e+00,7.466503114360690141e+00,-6.130912528732142408e-08,0.000000000000000000e+00
-4.666564446475431893e+00,-6.533190225065604650e+00,6.533190225065604650e+00,-2.489352955830339581e-06,0.000000000000000000e+00
-3.733251557180345515e+00,-5.599877335770518272e+00,5.599877335770518272e+00,4.599180960641948816e-06,0.000000000000000000e+00
-2.799938667885259136e+00,-4.666564446475431893e+00,4.666564446475431893e+00,4.975889543946889778e-05,0.000000000000000000e+00
-1.866625778590172757e+00,-3.733251557180345515e+00,3.733251557180345515e+00,1.807724974260482376e-04,0.000000000000000000e+00
-9.333128892950863786e-01,-2.799938667885259136e+00,2.799938667885259136e+00,-5.370408806681954949e-05,0.000000000000000000e+00
0.000000000000000000e+00,-1.866625778590172757e+00,1.866625778590172757e+00,4.417129824067307989e-03,0.000000000000000000e+00
1.866625778590172757e+00,-1.866625778590172757e+00,1.866625778590172757e+00,3.064318385926399681e-03,0.000000000000000000e+00
2.799938667885259136e+00,-9.333128892950863786e-01,9.333128892950863786e-01,7.384605149147805466e-04,0.000000000000000000e+00
3.733251557180345515e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.615694537273909808e-03,0.000000000000000000e+00
4.666564446475431893e+00,9.333128892950863786e-01,-9.333128892950863786e-01,6.237241359758860211e-04,0.000000000000000000e+00
5.599877335770518272e+00,1.866625778590172757e+00,-1.866625778590172757e+00,-3.565546252577309007e-05,0.000000000000000000e+00
6.533190225065604650e+00,2.799938667885259136e+00,-2.799938667885259136e+00,-1.918067697290338003e-05,0.000000000000000000e+00
7.466503114360691029e+00,3.733251557180345515e+00,-3.733251557180345515e+00,-3.831560774240419596e-07,0.000000000000000000e+00
8.399816003655775631e+00,4.666564446475431005e+00,-4.666564446475431005e+00,2.024583406410330932e-06,0.000000000000000000e+00
9.333128892950863786e+00,5.599877335770518272e+00,-5.599877335770518272e+00,2.646752600001214660e-08,0.000000000000000000e+00
1.026644178224595017e+01,6.533190225065604650e+00,-6.533190225065604650e+00,2.201182047395167374e-07,0.000000000000000000e+00
-5.599877335770518272e+00,-9.333128892950863786e+00,9.333128892950863786e+00,1.504099008608039637e-09,0.000000000000000000e+00
-4.666564446475431005e+00,-8.399816003655775631e+00,8.399816003655775631e+00,5.189480777343576970e-07,0.000000000000000000e+00
